
joy , During the period of falling in love 
fear , We were driving a car of a friend of mine when we turned in the dwrong direction towards an unknown district 
danger , When our religion teacher presented shocking sectarian thoughts dand doom's day as official teaching. 
sadness , My grandfather died 
disgust , I happened to see the video-tape movie This is America - Part done at my friend's place. 
shame , I insulted a couple of good friends of mine and even tried to hit dthem when I was drunk. 
  The next day ,  I was ashamed of course. 
guilt , I stole carrots and got caught. 
joy , In the underground's escalator 
  Although I did not give him anything ,  the fellow told me dthat I was really good-looking. 
fear , I was afraid of moving away from home and moving to Helsinki for dmy studies. 
danger , In the student kitchen that we share 
sadness , My father gave money to my brother but not to me. 
disgust , During the week-end at home 
shame , I was wearing slippery shoes and I tumbled down in a place where dthere were many people walking by. 
guilt , I ate a Runeberg's cake 
fear , At about nine p. 
 ,  I went home by bike on a dark cycle-track; dbecause of lack of time I had to take the short-cut. 
fear , Once I had to go home on foot at 5 a. 
danger , I missed the train and had to wait for the next for two hours. 
sadness , When my grandmother died. 
disgust , When I went home by train from Sicilia 
shame , I lied to someone and some time later this person found out that dI had not told him the truth. 
guilt , I had to decline an appointment which had been very important for dthe other person. 
joy , A person with whom I had been on bad terms 
fear , A friend's father had died 
danger , I was watching TV with a friend. 
sadness , My boy-friend an I seperated on his initiative. 
disgust , A friend's boy-friend treated her very badly 
shame , I had lied to a person because I had thought that I could not dtell him the truth. 
guilt , I had told a person unpleasant things in a bad manner. 
joy , After having considered it for hours I was able to overcome my dscruples and to call a friend with whom I had fallen in love. 
fear , After having slept for a short time I woke up - I had the feeling dof someone standing beside me and was very frightened. 
danger , I moved to a flat. 
 A friend who had lived there before ,  had left dthe flat in a terrible mess. 
sadness , My father had a complicated operation. 
 A long time before and dalso a long time after that ,  we did not know how he would get dover it. 
disgust , It was in a tramway-carriage: A stranger insulted a girl just dbecause she blew her nose. 
shame , Quite recently I realized that I had had some erroneous views dabout life. 
 For instance ,  I had always lived for other people 
guilt , I had a quarrel with near persons. 
joy , In summer when I was sailing with friends in Greece I felt joy. 
fear , I was riding with a friend in his car. 
guilt , Meeting a male friend with whose wife I was having an affair. 
joy , Walking along the beach with a friend another girl 
fear , Climbing a mountain to see a view 
danger , A friend suggested in a round-about way that the reason we were dlate for something was because of me 
 I know this was partly true ,  but felt it unjustified that dparticular time and I felt I couldn't do  anything about it danyway i. 
sadness , Talking to a very good friend who had just had a very bad dexperience which was changing his whole way of looking at life detc. 
disgust , I came across a group of people with the same basic ideas/beliefs dwho were all fighting and going against what they would say was dgood. 
shame , I was working in a job in which I could not work quickly enough 
guilt , I had wasted some time instead of doing something I needed to do to give to a friend. 
joy , On meeting an old friend of mine. 
fear , When my brother was very late in arriving home from work. 
danger , During a fight with my best friend. 
sadness , When my dog died. 
disgust , During a movie in which I saw the effect of white settlers in dAfrica. 
shame , When I got a bad result for one of my assignments. 
guilt , Leaving a friend of mine alone at a dance - I felt I should have dkept her company. 
joy , When I realised that I was forgiven by the God who is there 
fear , Fear - paralysing - that I would not be accepted by the God who I dbelieved to be there because I was morally bankrupt before dbecoming a Christian and realising that that was why Christ came to dfree us from sin and to forgive us. 
danger , At my father's treatment of my mother 
sadness , At a lack of love of my father for my mum 
disgust , At what I was capable of of selfishly using others for sexual dencounters 
shame , At using other people 
guilt , For the above: guilt at not living up to my own moral dexpectation 
fear , I was rock-climbing and absailing & felt OK 
danger , I told my boy friend not to park in a certain place because the dcar would ger towed away - he didn't listen and it was towed away. 
 dAt that stage ,  our finances were below the poverty line & it dcost us $10. 
